avg_wait_time,prob_wait,avg_service_time,avg_wait_time_waiters,avg_sys_time,avg_time_arrivals,prob_idle
0.202,0.08,2.77,2.525,2.972,19.7685245811652,0.8563427030391039
0.19,0.082,2.7,2.317073170731707,2.89,19.236071221584957,0.859331040950297
0.204,0.092,2.786,2.217391304347826,2.99,19.640091156173177,0.8593213492223793
0.232,0.094,2.72,2.4680851063829787,2.952,19.408259592182375,0.8569324637071324
