Customer,Cashier,Created,ArrivedQueue,ArrivedCashier,Left,PeopleBefore
0,2,1686213580733,1686213580734,1686213580734,1686213580746,0
6,2,1686213580733,1686213580742,1686213580746,1686213580750,0
22,7,1686213580733,1686213580772,1686213580772,1686213580781,0
25,7,1686213580733,1686213580778,1686213580781,1686213580784,0
11,4,1686213580733,1686213580750,1686213580750,1686213580787,0
21,6,1686213580733,1686213580772,1686213580772,1686213580787,0
28,7,1686213580733,1686213580784,1686213580784,1686213580789,0
18,5,1686213580733,1686213580764,1686213580765,1686213580793,0
29,7,1686213580733,1686213580786,1686213580789,1686213580800,0
30,9,1686213580733,1686213580787,1686213580787,1686213580804,0
2,1,1686213580733,1686213580737,1686213580737,1686213580806,0
10,2,1686213580733,1686213580747,1686213580750,1686213580816,0
12,2,1686213580733,1686213580752,1686213580816,1686213580817,0
13,4,1686213580733,1686213580753,1686213580787,1686213580820,0
33,9,1686213580733,1686213580791,1686213580804,1686213580820,0
16,4,1686213580733,1686213580759,1686213580820,1686213580832,1
1,0,1686213580733,1686213580736,1686213580736,1686213580835,0
5,3,1686213580733,1686213580741,1686213580741,1686213580837,0
19,5,1686213580733,1686213580766,1686213580793,1686213580837,0
24,6,1686213580733,1686213580776,1686213580787,1686213580845,0
31,6,1686213580733,1686213580789,1686213580845,1686213580845,0
3,1,1686213580733,1686213580737,1686213580806,1686213580853,0
23,8,1686213580733,1686213580772,1686213580772,1686213580857,0
20,5,1686213580733,1686213580769,1686213580837,1686213580875,1
32,7,1686213580733,1686213580789,1686213580800,1686213580879,0
15,2,1686213580733,1686213580758,1686213580817,1686213580880,1
39,9,1686213580733,1686213580803,1686213580820,1686213580883,1
4,0,1686213580733,1686213580740,1686213580835,1686213580893,0
7,3,1686213580733,1686213580743,1686213580837,1686213580895,0
8,1,1686213580733,1686213580743,1686213580853,1686213580904,1
35,5,1686213580733,1686213580796,1686213580875,1686213580904,1
34,4,1686213580733,1686213580794,1686213580832,1686213580907,1
37,7,1686213580733,1686213580801,1686213580879,1686213580910,0
14,0,1686213580733,1686213580756,1686213580893,1686213580914,1
43,0,1686213580733,1686213580808,1686213580914,1686213580916,2
36,6,1686213580733,1686213580800,1686213580845,1686213580922,1
57,0,1686213580733,1686213580828,1686213580916,1686213580922,3
9,3,1686213580733,1686213580744,1686213580895,1686213580931,1
38,7,1686213580733,1686213580802,1686213580910,1686213580936,1
26,8,1686213580733,1686213580781,1686213580857,1686213580936,0
47,4,1686213580733,1686213580812,1686213580908,1686213580937,2
48,6,1686213580733,1686213580812,1686213580922,1686213580937,2
27,8,1686213580733,1686213580781,1686213580937,1686213580945,1
42,5,1686213580733,1686213580808,1686213580904,1686213580951,2
40,9,1686213580733,1686213580806,1686213580883,1686213580955,1
46,2,1686213580733,1686213580811,1686213580880,1686213580967,2
17,3,1686213580733,1686213580762,1686213580932,1686213580969,2
61,0,1686213580733,1686213580837,1686213580922,1686213580972,3
56,6,1686213580733,1686213580827,1686213580937,1686213580977,3
49,7,1686213580733,1686213580816,1686213580936,1686213580980,2
50,9,1686213580733,1686213580816,1686213580955,1686213580980,2
41,1,1686213580733,1686213580808,1686213580904,1686213580981,1
70,7,1686213580733,1686213580853,1686213580980,1686213580984,3
74,7,1686213580733,1686213580859,1686213580984,1686213580986,4
76,0,1686213580733,1686213580862,1686213580973,1686213580994,4
44,1,1686213580733,1686213580810,1686213580981,1686213581002,2
62,3,1686213580733,1686213580839,1686213580969,1686213581008,2
55,9,1686213580733,1686213580827,1686213580980,1686213581010,2
52,2,1686213580733,1686213580819,1686213580967,1686213581013,1
45,8,1686213580733,1686213580811,1686213580945,1686213581019,2
53,2,1686213580733,1686213580822,1686213581013,1686213581020,2
54,4,1686213580733,1686213580824,1686213580937,1686213581026,2
60,4,1686213580733,1686213580834,1686213581026,1686213581029,2
58,9,1686213580733,1686213580829,1686213581010,1686213581029,3
64,4,1686213580733,1686213580841,1686213581029,1686213581032,3
82,9,1686213580733,1686213580874,1686213581029,1686213581034,4
85,7,1686213580733,1686213580880,1686213580986,1686213581038,4
79,4,1686213580733,1686213580865,1686213581033,1686213581043,4
63,5,1686213580733,1686213580840,1686213580952,1686213581051,2
66,3,1686213580733,1686213580845,1686213581008,1686213581057,3
59,1,1686213580733,1686213580832,1686213581002,1686213581067,3
84,4,1686213580733,1686213580878,1686213581043,1686213581069,5
67,6,1686213580733,1686213580846,1686213580977,1686213581072,2
99,4,1686213580733,1686213580910,1686213581069,1686213581076,5
51,8,1686213580733,1686213580816,1686213581019,1686213581077,3
105,4,1686213580733,1686213580913,1686213581076,1686213581082,6
65,5,1686213580733,1686213580842,1686213581051,1686213581083,3
69,2,1686213580733,1686213580850,1686213581020,1686213581088,3
80,5,1686213580733,1686213580867,1686213581083,1686213581090,4
90,0,1686213580733,1686213580890,1686213580994,1686213581091,5
83,5,1686213580733,1686213580878,1686213581090,1686213581093,4
68,6,1686213580733,1686213580849,1686213581072,1686213581099,3
86,7,1686213580733,1686213580880,1686213581038,1686213581109,5
121,4,1686213580733,1686213580940,1686213581082,1686213581113,6
71,1,1686213580733,1686213580855,1686213581067,1686213581117,3
88,9,1686213580733,1686213580884,1686213581035,1686213581120,4
89,5,1686213580733,1686213580886,1686213581093,1686213581144,5
78,3,1686213580733,1686213580864,1686213581057,1686213581145,4
72,6,1686213580733,1686213580857,1686213581099,1686213581156,4
101,9,1686213580733,1686213580910,1686213581120,1686213581164,5
77,1,1686213580733,1686213580863,1686213581117,1686213581168,4
73,8,1686213580733,1686213580859,1686213581077,1686213581170,3
103,7,1686213580733,1686213580912,1686213581109,1686213581171,5
75,2,1686213580733,1686213580859,1686213581088,1686213581178,4
94,0,1686213580733,1686213580901,1686213581091,1686213581181,5
