Customer,Cashier,Created,ArrivedQueue,ArrivedCashier,Left,PeopleBefore
5,0,1686210775126,1686210775132,1686210775132,1686210775178,0
2,3,1686210775126,1686210775129,1686210775129,1686210775180,0
0,1,1686210775126,1686210775127,1686210775127,1686210775210,0
6,0,1686210775126,1686210775133,1686210775178,1686210775215,0
1,2,1686210775126,1686210775128,1686210775128,1686210775225,0
4,2,1686210775126,1686210775130,1686210775225,1686210775251,0
3,1,1686210775126,1686210775129,1686210775210,1686210775251,0
7,3,1686210775126,1686210775133,1686210775181,1686210775277,0
10,0,1686210775126,1686210775136,1686210775215,1686210775284,1
12,0,1686210775126,1686210775140,1686210775285,1686210775291,2
9,2,1686210775126,1686210775136,1686210775251,1686210775302,1
17,0,1686210775126,1686210775148,1686210775291,1686210775304,3
8,1,1686210775126,1686210775136,1686210775251,1686210775319,1
15,2,1686210775126,1686210775147,1686210775302,1686210775321,2
21,0,1686210775126,1686210775160,1686210775304,1686210775330,4
11,3,1686210775126,1686210775139,1686210775277,1686210775337,1
16,2,1686210775126,1686210775148,1686210775321,1686210775349,3
14,1,1686210775126,1686210775144,1686210775320,1686210775375,2
24,0,1686210775126,1686210775164,1686210775330,1686210775376,5
18,1,1686210775126,1686210775151,1686210775375,1686210775377,3
13,3,1686210775126,1686210775141,1686210775337,1686210775387,2
23,2,1686210775126,1686210775164,1686210775349,1686210775428,4
29,0,1686210775126,1686210775175,1686210775377,1686210775456,6
22,1,1686210775126,1686210775164,1686210775377,1686210775465,4
19,3,1686210775126,1686210775155,1686210775387,1686210775485,3
32,0,1686210775126,1686210775179,1686210775456,1686210775487,6
26,2,1686210775126,1686210775168,1686210775428,1686210775504,5
27,1,1686210775126,1686210775169,1686210775465,1686210775541,5
35,0,1686210775126,1686210775186,1686210775487,1686210775557,7
30,2,1686210775126,1686210775178,1686210775504,1686210775559,6
28,1,1686210775126,1686210775173,1686210775541,1686210775561,6
20,3,1686210775126,1686210775157,1686210775485,1686210775566,4
25,3,1686210775126,1686210775167,1686210775566,1686210775568,5
34,2,1686210775126,1686210775185,1686210775559,1686210775599,7
40,0,1686210775126,1686210775193,1686210775557,1686210775599,8
31,3,1686210775126,1686210775178,1686210775569,1686210775609,6
36,1,1686210775126,1686210775187,1686210775561,1686210775626,7
41,2,1686210775126,1686210775194,1686210775599,1686210775651,8
42,2,1686210775126,1686210775197,1686210775651,1686210775651,9
44,0,1686210775126,1686210775199,1686210775599,1686210775668,9
39,1,1686210775126,1686210775189,1686210775626,1686210775679,8
33,3,1686210775126,1686210775182,1686210775609,1686210775692,6
47,0,1686210775126,1686210775202,1686210775668,1686210775711,10
46,2,1686210775126,1686210775202,1686210775651,1686210775719,10
51,0,1686210775126,1686210775210,1686210775711,1686210775726,11
37,3,1686210775126,1686210775189,1686210775692,1686210775743,7
43,1,1686210775126,1686210775197,1686210775679,1686210775774,9
50,2,1686210775126,1686210775207,1686210775719,1686210775779,11
54,0,1686210775126,1686210775217,1686210775726,1686210775787,11
58,2,1686210775126,1686210775225,1686210775779,1686210775815,12
38,3,1686210775126,1686210775189,1686210775743,1686210775832,8
48,1,1686210775126,1686210775205,1686210775774,1686210775866,10
56,0,1686210775126,1686210775221,1686210775787,1686210775874,12
60,2,1686210775126,1686210775225,1686210775815,1686210775885,13
45,3,1686210775126,1686210775199,1686210775833,1686210775914,9
63,0,1686210775126,1686210775236,1686210775874,1686210775926,13
52,1,1686210775126,1686210775211,1686210775866,1686210775959,10
49,3,1686210775126,1686210775205,1686210775914,1686210775982,10
62,2,1686210775126,1686210775232,1686210775885,1686210775982,13
53,1,1686210775126,1686210775214,1686210775959,1686210775985,11
68,0,1686210775127,1686210775241,1686210775926,1686210776017,14
66,2,1686210775126,1686210775239,1686210775982,1686210776032,14
57,1,1686210775126,1686210775224,1686210775985,1686210776036,12
61,1,1686210775126,1686210775229,1686210776036,1686210776040,13
55,3,1686210775126,1686210775217,1686210775982,1686210776044,11
65,1,1686210775126,1686210775238,1686210776040,1686210776065,14
70,0,1686210775127,1686210775244,1686210776017,1686210776066,15
72,2,1686210775127,1686210775248,1686210776032,1686210776096,15
71,1,1686210775127,1686210775246,1686210776065,1686210776105,15
75,1,1686210775127,1686210775252,1686210776106,1686210776128,15
74,2,1686210775127,1686210775251,1686210776096,1686210776128,15
77,2,1686210775127,1686210775255,1686210776128,1686210776132,16
59,3,1686210775126,1686210775225,1686210776044,1686210776144,12
73,0,1686210775127,1686210775249,1686210776066,1686210776163,16
76,1,1686210775127,1686210775254,1686210776128,1686210776170,16
82,2,1686210775127,1686210775264,1686210776132,1686210776171,17
64,3,1686210775126,1686210775236,1686210776145,1686210776171,13
81,1,1686210775127,1686210775260,1686210776171,1686210776187,17
85,1,1686210775127,1686210775270,1686210776187,1686210776199,18
86,2,1686210775127,1686210775272,1686210776171,1686210776203,18
87,2,1686210775127,1686210775272,1686210776203,1686210776213,19
88,1,1686210775127,1686210775272,1686210776199,1686210776222,19
80,0,1686210775127,1686210775260,1686210776164,1686210776244,17
67,3,1686210775126,1686210775239,1686210776171,1686210776253,14
95,1,1686210775127,1686210775281,1686210776222,1686210776253,20
91,2,1686210775127,1686210775275,1686210776213,1686210776270,20
84,0,1686210775127,1686210775266,1686210776244,1686210776294,18
69,3,1686210775127,1686210775241,1686210776253,1686210776294,15
96,1,1686210775127,1686210775282,1686210776253,1686210776298,21
90,0,1686210775127,1686210775275,1686210776294,1686210776305,19
105,1,1686210775127,1686210775298,1686210776299,1686210776315,22
98,2,1686210775127,1686210775284,1686210776270,1686210776338,21
78,3,1686210775127,1686210775256,1686210776294,1686210776344,16
106,1,1686210775127,1686210775299,1686210776316,1686210776348,23
112,1,1686210775127,1686210775307,1686210776348,1686210776354,24
93,0,1686210775127,1686210775277,1686210776305,1686210776370,20
102,2,1686210775127,1686210775291,1686210776339,1686210776374,22
116,1,1686210775127,1686210775313,1686210776354,1686210776416,25
120,1,1686210775127,1686210775321,1686210776416,1686210776416,25
79,3,1686210775127,1686210775259,1686210776344,1686210776434,17
123,1,1686210775127,1686210775328,1686210776416,1686210776434,26
108,2,1686210775127,1686210775299,1686210776374,1686210776438,23
97,0,1686210775127,1686210775282,1686210776370,1686210776455,21
126,1,1686210775127,1686210775329,1686210776434,1686210776471,27
134,1,1686210775127,1686210775340,1686210776471,1686210776488,28
137,1,1686210775127,1686210775344,1686210776489,1686210776510,29
110,2,1686210775127,1686210775303,1686210776438,1686210776510,23
83,3,1686210775127,1686210775265,1686210776434,1686210776517,18
89,3,1686210775127,1686210775273,1686210776517,1686210776519,19
99,0,1686210775127,1686210775286,1686210776455,1686210776525,21
101,0,1686210775127,1686210775288,1686210776525,1686210776525,22
103,0,1686210775127,1686210775294,1686210776525,1686210776551,22
