Customer,Cashier,Created,ArrivedQueue,ArrivedCashier,Left,PeopleBefore
2,0,1686211205231,1686211205239,1686211205239,1686211205239,0
6,3,1686211205231,1686211205248,1686211205248,1686211205254,0
1,2,1686211205231,1686211205236,1686211205236,1686211205280,0
5,0,1686211205231,1686211205246,1686211205246,1686211205282,0
8,3,1686211205231,1686211205254,1686211205254,1686211205307,0
0,1,1686211205231,1686211205233,1686211205233,1686211205308,0
9,3,1686211205231,1686211205254,1686211205307,1686211205320,1
4,2,1686211205231,1686211205244,1686211205281,1686211205329,0
13,2,1686211205231,1686211205260,1686211205329,1686211205351,1
11,3,1686211205231,1686211205255,1686211205320,1686211205351,1
17,2,1686211205231,1686211205271,1686211205351,1686211205358,2
7,0,1686211205231,1686211205251,1686211205282,1686211205370,0
3,1,1686211205231,1686211205241,1686211205308,1686211205382,0
12,1,1686211205231,1686211205259,1686211205382,1686211205384,1
21,2,1686211205231,1686211205280,1686211205358,1686211205389,3
22,2,1686211205231,1686211205282,1686211205389,1686211205429,3
15,1,1686211205231,1686211205267,1686211205385,1686211205429,2
16,3,1686211205231,1686211205270,1686211205351,1686211205431,2
19,1,1686211205231,1686211205274,1686211205429,1686211205433,3
10,0,1686211205231,1686211205255,1686211205370,1686211205465,1
14,0,1686211205231,1686211205263,1686211205465,1686211205477,2
26,2,1686211205231,1686211205292,1686211205429,1686211205490,4
24,1,1686211205231,1686211205288,1686211205433,1686211205494,4
18,3,1686211205231,1686211205274,1686211205431,1686211205523,3
29,2,1686211205231,1686211205299,1686211205490,1686211205553,5
20,0,1686211205231,1686211205277,1686211205477,1686211205557,3
35,2,1686211205231,1686211205308,1686211205553,1686211205562,6
31,1,1686211205231,1686211205302,1686211205494,1686211205564,5
27,3,1686211205231,1686211205294,1686211205523,1686211205583,4
23,0,1686211205231,1686211205285,1686211205557,1686211205597,3
41,2,1686211205231,1686211205321,1686211205562,1686211205604,7
32,1,1686211205231,1686211205302,1686211205565,1686211205630,6
28,3,1686211205231,1686211205296,1686211205583,1686211205641,5
45,2,1686211205231,1686211205326,1686211205604,1686211205659,8
25,0,1686211205231,1686211205292,1686211205597,1686211205670,4
30,0,1686211205231,1686211205300,1686211205670,1686211205696,5
48,2,1686211205231,1686211205331,1686211205659,1686211205698,8
34,3,1686211205231,1686211205307,1686211205641,1686211205715,6
37,3,1686211205231,1686211205313,1686211205715,1686211205728,6
36,1,1686211205231,1686211205311,1686211205630,1686211205729,6
40,1,1686211205231,1686211205321,1686211205729,1686211205732,7
33,0,1686211205231,1686211205303,1686211205696,1686211205747,6
51,2,1686211205231,1686211205336,1686211205698,1686211205769,9
44,1,1686211205231,1686211205324,1686211205732,1686211205775,8
38,3,1686211205231,1686211205316,1686211205728,1686211205786,7
50,1,1686211205231,1686211205335,1686211205776,1686211205809,9
53,2,1686211205231,1686211205338,1686211205769,1686211205835,10
39,0,1686211205231,1686211205318,1686211205747,1686211205840,7
43,0,1686211205231,1686211205321,1686211205840,1686211205841,8
42,3,1686211205231,1686211205321,1686211205786,1686211205846,7
49,0,1686211205231,1686211205335,1686211205841,1686211205847,9
52,1,1686211205231,1686211205338,1686211205809,1686211205856,10
56,2,1686211205231,1686211205341,1686211205835,1686211205861,11
54,0,1686211205231,1686211205340,1686211205847,1686211205891,10
62,2,1686211205231,1686211205353,1686211205861,1686211205906,11
57,0,1686211205231,1686211205345,1686211205891,1686211205915,11
59,1,1686211205231,1686211205348,1686211205856,1686211205918,11
46,3,1686211205231,1686211205327,1686211205846,1686211205929,8
64,2,1686211205231,1686211205357,1686211205907,1686211205958,12
68,2,1686211205231,1686211205358,1686211205958,1686211205979,13
65,1,1686211205231,1686211205357,1686211205918,1686211205986,12
47,3,1686211205231,1686211205329,1686211205929,1686211205991,9
61,0,1686211205231,1686211205350,1686211205915,1686211205994,12
69,2,1686211205231,1686211205359,1686211205994,1686211206009,13
55,3,1686211205231,1686211205340,1686211205994,1686211206019,10
67,1,1686211205231,1686211205358,1686211205994,1686211206041,13
72,2,1686211205231,1686211205364,1686211206009,1686211206042,14
71,1,1686211205231,1686211205361,1686211206041,1686211206077,14
66,0,1686211205231,1686211205358,1686211205994,1686211206077,13
58,3,1686211205231,1686211205346,1686211206019,1686211206099,11
79,1,1686211205231,1686211205378,1686211206077,1686211206100,15
77,2,1686211205231,1686211205373,1686211206043,1686211206138,15
73,0,1686211205231,1686211205364,1686211206077,1686211206140,14
76,0,1686211205231,1686211205371,1686211206140,1686211206142,14
60,3,1686211205231,1686211205350,1686211206099,1686211206184,12
83,2,1686211205231,1686211205384,1686211206138,1686211206186,16
81,1,1686211205231,1686211205382,1686211206100,1686211206198,15
85,2,1686211205231,1686211205389,1686211206186,1686211206209,16
78,0,1686211205231,1686211205376,1686211206142,1686211206221,15
