Customer,Cashier,Created,ArrivedQueue,ArrivedCashier,Left,PeopleBefore
0,0,1686210946603,1686210946606,1686210946606,1686210946611,0
6,0,1686210946603,1686210946622,1686210946622,1686210946638,0
2,3,1686210946603,1686210946609,1686210946609,1686210946649,0
4,2,1686210946603,1686210946616,1686210946616,1686210946659,0
1,1,1686210946603,1686210946609,1686210946609,1686210946708,0
7,3,1686210946603,1686210946622,1686210946649,1686210946711,0
8,0,1686210946603,1686210946624,1686210946638,1686210946720,0
9,0,1686210946603,1686210946627,1686210946720,1686210946748,1
5,2,1686210946603,1686210946618,1686210946659,1686210946754,0
15,0,1686210946603,1686210946636,1686210946748,1686210946755,2
12,3,1686210946603,1686210946633,1686210946711,1686210946773,1
3,1,1686210946603,1686210946613,1686210946708,1686210946783,0
17,0,1686210946603,1686210946638,1686210946755,1686210946805,2
19,0,1686210946603,1686210946644,1686210946805,1686210946818,3
16,3,1686210946603,1686210946636,1686210946773,1686210946833,2
10,2,1686210946603,1686210946631,1686210946754,1686210946839,1
11,1,1686210946603,1686210946632,1686210946783,1686210946879,1
21,3,1686210946603,1686210946648,1686210946833,1686210946880,3
25,0,1686210946603,1686210946653,1686210946818,1686210946900,4
28,0,1686210946603,1686210946658,1686210946901,1686210946910,5
13,2,1686210946603,1686210946633,1686210946839,1686210946915,2
14,1,1686210946603,1686210946635,1686210946879,1686210946924,2
18,2,1686210946603,1686210946642,1686210946915,1686210946933,3
23,3,1686210946603,1686210946649,1686210946880,1686210946938,4
22,2,1686210946603,1686210946649,1686210946933,1686210946976,4
34,0,1686210946603,1686210946668,1686210946910,1686210946992,6
20,1,1686210946603,1686210946644,1686210946924,1686210947000,3
26,3,1686210946603,1686210946657,1686210946938,1686210947013,4
36,0,1686210946603,1686210946670,1686210946992,1686210947024,7
29,2,1686210946603,1686210946660,1686210946977,1686210947028,4
31,3,1686210946603,1686210946664,1686210947013,1686210947066,5
42,0,1686210946603,1686210946685,1686210947025,1686210947078,8
24,1,1686210946603,1686210946650,1686210947000,1686210947098,4
33,3,1686210946603,1686210946666,1686210947067,1686210947104,6
39,3,1686210946603,1686210946676,1686210947104,1686210947117,7
30,2,1686210946603,1686210946661,1686210947028,1686210947119,5
45,0,1686210946603,1686210946693,1686210947078,1686210947134,9
40,3,1686210946603,1686210946679,1686210947124,1686210947168,8
27,1,1686210946603,1686210946658,1686210947098,1686210947173,5
35,2,1686210946603,1686210946670,1686210947124,1686210947211,6
49,0,1686210946603,1686210946703,1686210947134,1686210947219,10
46,3,1686210946603,1686210946696,1686210947168,1686210947221,9
55,0,1686210946603,1686210946709,1686210947219,1686210947248,11
37,2,1686210946603,1686210946671,1686210947211,1686210947249,7
32,1,1686210946603,1686210946666,1686210947173,1686210947259,6
38,1,1686210946603,1686210946672,1686210947260,1686210947260,7
51,3,1686210946603,1686210946705,1686210947221,1686210947268,10
41,2,1686210946603,1686210946683,1686210947249,1686210947314,8
43,1,1686210946603,1686210946687,1686210947260,1686210947321,8
53,3,1686210946603,1686210946707,1686210947269,1686210947335,11
47,1,1686210946603,1686210946699,1686210947321,1686210947341,9
61,0,1686210946603,1686210946719,1686210947248,1686210947345,12
48,1,1686210946603,1686210946701,1686210947341,1686210947349,10
44,2,1686210946603,1686210946689,1686210947314,1686210947380,9
62,0,1686210946603,1686210946722,1686210947345,1686210947391,12
57,3,1686210946603,1686210946712,1686210947335,1686210947393,11
63,0,1686210946603,1686210946725,1686210947391,1686210947396,13
50,2,1686210946603,1686210946704,1686210947380,1686210947399,10
60,3,1686210946603,1686210946716,1686210947393,1686210947420,12
52,1,1686210946603,1686210946707,1686210947349,1686210947423,11
64,3,1686210946603,1686210946728,1686210947421,1686210947430,13
67,0,1686210946603,1686210946733,1686210947396,1686210947436,14
56,1,1686210946603,1686210946709,1686210947423,1686210947465,11
54,2,1686210946603,1686210946708,1686210947399,1686210947488,11
69,3,1686210946603,1686210946735,1686210947430,1686210947508,14
73,0,1686210946603,1686210946743,1686210947436,1686210947512,15
76,0,1686210946603,1686210946750,1686210947513,1686210947518,15
74,3,1686210946603,1686210946746,1686210947508,1686210947550,15
59,1,1686210946603,1686210946713,1686210947465,1686210947565,12
58,2,1686210946603,1686210946713,1686210947488,1686210947569,12
79,3,1686210946603,1686210946752,1686210947550,1686210947570,16
