Customer,Cashier,Created,ArrivedQueue,ArrivedCashier,Left,PeopleBefore
10,4,1686213913692,1686213913703,1686213913703,1686213913709,0
7,3,1686213913692,1686213913699,1686213913699,1686213913715,0
18,6,1686213913692,1686213913711,1686213913711,1686213913717,0
3,1,1686213913692,1686213913694,1686213913694,1686213913718,0
15,5,1686213913692,1686213913707,1686213913707,1686213913734,0
4,1,1686213913692,1686213913695,1686213913718,1686213913740,0
9,3,1686213913692,1686213913703,1686213913715,1686213913741,0
0,0,1686213913692,1686213913693,1686213913693,1686213913748,0
21,7,1686213913692,1686213913716,1686213913716,1686213913758,0
24,8,1686213913692,1686213913724,1686213913724,1686213913759,0
19,6,1686213913692,1686213913713,1686213913717,1686213913762,0
11,4,1686213913692,1686213913705,1686213913710,1686213913777,0
6,2,1686213913692,1686213913699,1686213913699,1686213913783,0
8,2,1686213913692,1686213913702,1686213913783,1686213913791,0
13,3,1686213913692,1686213913707,1686213913741,1686213913792,1
23,7,1686213913692,1686213913721,1686213913758,1686213913798,0
22,6,1686213913692,1686213913718,1686213913762,1686213913799,0
25,8,1686213913692,1686213913726,1686213913759,1686213913819,0
27,9,1686213913692,1686213913730,1686213913730,1686213913824,0
1,0,1686213913692,1686213913693,1686213913748,1686213913829,0
5,1,1686213913692,1686213913698,1686213913740,1686213913833,1
16,5,1686213913692,1686213913707,1686213913734,1686213913833,1
29,7,1686213913692,1686213913736,1686213913798,1686213913843,1
2,0,1686213913692,1686213913693,1686213913829,1686213913849,1
31,3,1686213913692,1686213913736,1686213913792,1686213913857,1
14,4,1686213913692,1686213913707,1686213913777,1686213913867,1
32,6,1686213913692,1686213913738,1686213913799,1686213913872,1
17,5,1686213913692,1686213913709,1686213913833,1686213913873,1
33,8,1686213913692,1686213913738,1686213913819,1686213913879,1
46,8,1686213913692,1686213913754,1686213913880,1686213913884,2
12,2,1686213913692,1686213913706,1686213913792,1686213913889,1
20,4,1686213913692,1686213913713,1686213913867,1686213913892,1
39,0,1686213913692,1686213913745,1686213913849,1686213913898,2
28,9,1686213913692,1686213913733,1686213913824,1686213913903,0
41,4,1686213913692,1686213913746,1686213913893,1686213913904,2
49,8,1686213913692,1686213913762,1686213913884,1686213913912,2
26,1,1686213913692,1686213913726,1686213913833,1686213913917,1
59,8,1686213913692,1686213913788,1686213913912,1686213913919,3
43,2,1686213913692,1686213913752,1686213913889,1686213913928,2
30,5,1686213913692,1686213913736,1686213913873,1686213913928,1
35,3,1686213913692,1686213913742,1686213913857,1686213913937,1
44,3,1686213913692,1686213913753,1686213913937,1686213913940,2
37,6,1686213913692,1686213913742,1686213913872,1686213913940,2
45,7,1686213913692,1686213913753,1686213913843,1686213913941,2
36,9,1686213913692,1686213913742,1686213913904,1686213913943,1
54,4,1686213913692,1686213913777,1686213913904,1686213913950,2
50,6,1686213913692,1686213913764,1686213913940,1686213913954,2
48,7,1686213913692,1686213913759,1686213913941,1686213913960,2
57,4,1686213913692,1686213913785,1686213913950,1686213913960,3
76,8,1686213913692,1686213913804,1686213913919,1686213913962,4
42,0,1686213913692,1686213913749,1686213913898,1686213913969,2
55,6,1686213913692,1686213913778,1686213913955,1686213913970,3
52,2,1686213913692,1686213913771,1686213913928,1686213913993,3
38,5,1686213913692,1686213913745,1686213913929,1686213913997,2
66,4,1686213913692,1686213913798,1686213913960,1686213914007,4
62,7,1686213913692,1686213913789,1686213913960,1686213914009,3
34,1,1686213913692,1686213913741,1686213913917,1686213914016,1
58,3,1686213913692,1686213913786,1686213913940,1686213914029,3
47,9,1686213913692,1686213913756,1686213913943,1686213914033,2
85,4,1686213913692,1686213913817,1686213914007,1686213914038,5
67,6,1686213913692,1686213913799,1686213913970,1686213914042,3
81,8,1686213913692,1686213913809,1686213913962,1686213914048,5
64,3,1686213913692,1686213913794,1686213914029,1686213914051,3
74,6,1686213913692,1686213913803,1686213914042,1686213914054,4
60,2,1686213913692,1686213913788,1686213913993,1686213914059,3
53,0,1686213913692,1686213913774,1686213913969,1686213914064,3
61,5,1686213913692,1686213913788,1686213913997,1686213914072,3
87,8,1686213913692,1686213913820,1686213914048,1686213914079,5
65,7,1686213913692,1686213913796,1686213914009,1686213914080,4
40,1,1686213913692,1686213913746,1686213914016,1686213914081,2
73,5,1686213913692,1686213913802,1686213914072,1686213914083,4
72,3,1686213913692,1686213913800,1686213914051,1686213914088,4
78,6,1686213913692,1686213913804,1686213914054,1686213914093,5
89,4,1686213913692,1686213913824,1686213914038,1686213914095,6
113,4,1686213913692,1686213913861,1686213914095,1686213914096,7
77,3,1686213913692,1686213913804,1686213914088,1686213914104,5
